# scale, s, m, kg
s, 525600, 1.0e9, 1.0e21
# object
#    m,   px, py, pz, vx,      vy, vz,   r,    R,    G,    B
2.0e09,    0,  0,  0,  0,       0,  0,  25,    1,    0,    0
3.3e02, 57.9,  0,  0,  0, 4.80e-5,  0, 4.4,    1,    1,    1
4.9e02,  108,  0,  0,  0, 3.48e-5,  0, 6.0, 0.75, 0.75,    0
6.0e03,  150,  0,  0,  0, 2.98e-5,  0, 6.3,    0,    1,    1
6.4e02,  228,  0,  0,  0, 2.41e-5,  0, 3.4,    1,  0.5,    0
1.0e00, 50.8,  0,  0,  0, 6.97e-5,  0, 2.0,  0.5,  0.5, 0.75
